"","strain","motif_len","pheno","n","metric"
"146","BXD222","4",0.000589962214324844,42,"% denovo"
"147","BXD223","4",0.000608969247053024,42,"% denovo"
"148","BXD224","4",0.000578943015466049,35,"% denovo"
"149","BXD225","4",0.000392310710082385,27,"% denovo"
"150","BXD226","4",0.00102989517642245,73,"% denovo"
"151","BXD227","4",0.000874594442093384,62,"% denovo"
"152","BXD001","4",1.04508196721311,244,"delta (RU) expan"
"153","BXD002","4",1.04307692307692,325,"delta (RU) expan"
"154","BXD005","4",1.06645569620253,316,"delta (RU) expan"
"155","BXD006","4",1.05780346820809,346,"delta (RU) expan"
"156","BXD008","4",1.03448275862069,145,"delta (RU) expan"
"157","BXD009","4",1.06726457399103,223,"delta (RU) expan"
"158","BXD011","4",1.05555555555556,270,"delta (RU) expan"
"159","BXD012","4",1.0472972972973,296,"delta (RU) expan"
"160","BXD013","4",1.03271028037383,214,"delta (RU) expan"
"161","BXD014","4",1.05882352941176,306,"delta (RU) expan"
"162","BXD015","4",1.04072398190045,221,"delta (RU) expan"
"163","BXD016","4",1.08455882352941,272,"delta (RU) expan"
"164","BXD018","4",1.06985294117647,272,"delta (RU) expan"
"165","BXD019","4",1.06197183098592,355,"delta (RU) expan"
"166","BXD020","4",1.03985507246377,276,"delta (RU) expan"
"167","BXD021","4",1.04494382022472,178,"delta (RU) expan"
"168","BXD022","4",1.04982206405694,281,"delta (RU) expan"
"169","BXD024","4",1.05263157894737,209,"delta (RU) expan"
"170","BXD024_cep","4",1.06440677966102,295,"delta (RU) expan"
"171","BXD027","4",1.06389776357827,313,"delta (RU) expan"
"172","BXD028","4",1.02654867256637,226,"delta (RU) expan"
"173","BXD029","4",1.06470588235294,170,"delta (RU) expan"
"174","BXD029_trl4","4",1.04255319148936,235,"delta (RU) expan"
"175","BXD031","4",1.06760563380282,355,"delta (RU) expan"
"176","BXD032","4",1.07874015748032,254,"delta (RU) expan"
"177","BXD033","4",1.07936507936508,63,"delta (RU) expan"
"178","BXD034","4",1.02816901408451,142,"delta (RU) expan"
"179","BXD036","4",1.01923076923077,104,"delta (RU) expan"
"180","BXD038","4",1.04469273743017,179,"delta (RU) expan"
"181","BXD039","4",1.01785714285714,112,"delta (RU) expan"
"182","BXD040","4",1.05970149253731,134,"delta (RU) expan"
"183","BXD042","4",1.02923976608187,171,"delta (RU) expan"
"184","BXD043","4",1.00662251655629,151,"delta (RU) expan"
"185","BXD044","4",1.02255639097744,133,"delta (RU) expan"
"186","BXD045","4",1.03289473684211,152,"delta (RU) expan"
"187","BXD048","4",1.01694915254237,118,"delta (RU) expan"
"188","BXD048a","4",1.08904109589041,146,"delta (RU) expan"
"189","BXD049","4",1.07377049180328,122,"delta (RU) expan"
"190","BXD050","4",1.03921568627451,153,"delta (RU) expan"
"191","BXD051","4",1.03418803418803,117,"delta (RU) expan"
"192","BXD053","4",1.04225352112676,71,"delta (RU) expan"
"193","BXD055","4",1.00877192982456,114,"delta (RU) expan"
"194","BXD056","4",1.04379562043796,137,"delta (RU) expan"
"195","BXD060","4",1.06666666666667,135,"delta (RU) expan"
